Rk,Lineup,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,ORB%,DRB,DRB%,TRB,TRB%,AST,STL,BLK,TOV,PF
1,B. Adebayo | J. Butler | T. Herro | H. Highsmith | D. Robinson,188:29:00,+5.2,+1.2,+3.5,-0.006,+3.5,+8.2,+.008,+.010,-0.8,-0.8,-0.01,+2.2,+5.5,+3.7,+5.5,+3.0,+6.6,+2.2,+1.3,-1.4,+0.8,+0.8
2,B. Adebayo | T. Herro | D. Mitchell | K. Ware | A. Wiggins,120:26:00,-1,-1.9,-3.5,-0.003,-2.3,-2.9,-0.033,-0.013,+5.2,+6.0,0,-1.1,-2.2,0,-2.2,-0.4,-1,-0.1,-0.5,+3.7,-0.2,-1.9
3,B. Adebayo | T. Herro | H. Highsmith | J. Jaquez | T. Rozier,119:49:00,-16.4,-9.4,-8.2,-0.062,-5.2,-0.6,-0.132,-0.084,+7.7,+9.3,+.009,-6.4,-14.8,-10.2,-14.8,-8.5,-17.3,-3.4,+3.9,-3.7,-2.7,-3.3
4,B. Adebayo | J. Butler | T. Herro | N. Jović | T. Rozier,94:36:00,-20.3,-10.3,-3.3,-0.095,+0.1,+2.0,-0.017,-0.092,+0.2,+4.0,-0.13,-2,-6.5,-5.8,-6.5,-3.8,-8.2,+0.3,-1.7,-3.3,+1.2,-3.2
5,B. Adebayo | T. Herro | H. Highsmith | D. Robinson | K. Ware,90:24:00,+2.9,-1.2,-11.7,+.048,+4.0,-0.1,+.104,+.081,+1.2,-0.4,+.097,-3.2,-3.8,+4.6,-3.8,+0.8,+1.8,+2.5,-5.1,-0.1,+9.6,-1.7
6,B. Adebayo | T. Herro | H. Highsmith | J. Jaquez | D. Robinson,67:15:00,-21.2,-12.3,-11.1,-0.076,+1.3,+11.1,-0.064,-0.061,+2.1,-0.3,+.167,+0.5,+2.0,+2.5,+2.0,+1.2,+2.4,-3.9,-6.2,+0.1,+12.5,-0.4
7,B. Adebayo | T. Herro | H. Highsmith | N. Jović | T. Rozier,62:58:00,+11.8,-3.8,-7.1,-0.009,+3.4,+1.0,+.069,+.016,+15.8,+22.9,-0.039,+0.4,-0.4,-1.6,-0.4,-0.4,-0.7,+5.1,+2.9,+0.7,-0.4,0
8,B. Adebayo | T. Herro | H. Highsmith | K. Love | T. Rozier,57:48:00,-4.2,+1.7,+2.5,+.007,-3.4,-3.4,-0.059,-0.013,-4.2,-1.7,-0.163,+2.5,+5.0,+2.5,+5.0,+2.5,+5.0,-4.2,+4.2,-1.7,0,+0.4
9,T. Herro | J. Jaquez | N. Jović | T. Rozier | K. Ware,55:29:00,-24,-4.7,+0.9,-0.053,-7.8,-7.2,-0.119,-0.094,-6.9,-12.9,+.204,-4.4,-10.1,-6.5,-10.1,-5.5,-11.3,-2,+1.8,-0.8,+0.8,+3.0
10,B. Adebayo | T. Herro | J. Jaquez | N. Jović | T. Rozier,49:48:00,+11.9,+10.3,+4.7,+.086,+1.6,-1.3,+.043,+.090,-10.3,-10.7,-0.084,+1.6,+3.1,+1.5,+3.1,+2.6,+5.1,+5.9,-3.6,-1.7,+3.1,+1.5
11,B. Adebayo | T. Herro | H. Highsmith | D. Mitchell | D. Robinson,47:25:00,+15.9,+8.3,+3.0,+.080,-1.9,-0.5,-0.042,+.067,+1.2,-2.5,+.139,-4.9,-8.3,+1.3,-8.3,-2.7,-6,+5.9,+3.7,-0.9,-6.3,+0.5
12,B. Adebayo | A. Burks | T. Herro | K. Ware | A. Wiggins,45:34:00,+38.1,+9.7,-5.2,+.132,+13.5,-3.7,+.370,+.211,+5.2,+4.3,+.135,+0.1,+8.2,+14.0,+8.2,+7.2,+15.9,+7.5,-5.2,+3.0,+5.3,-2.1
13,B. Adebayo | J. Butler | T. Herro | H. Highsmith | T. Rozier,42:48:00,+18.1,+2.4,+15.7,-0.054,+7.2,+13.3,+.057,-0.029,+6.0,+2.4,+.176,+12.0,+19.6,-1.2,+19.6,+5.4,+12.3,0,+3.6,+1.2,-4.8,-0.6
14,B. Adebayo | H. Highsmith | J. Jaquez | D. Robinson | T. Rozier,41:28:00,-2.4,+2.1,+8.2,-0.015,+5.1,+4.7,+.093,+.009,-11.7,-9.1,-0.193,+7.5,+14.5,+3.9,+14.5,+6.1,+12.8,-4.3,-2.7,-3.7,+6.4,-1.8
15,B. Adebayo | T. Herro | H. Highsmith | D. Robinson | T. Rozier,41:04:00,+7.3,+9.5,+19.0,-0.003,+3.6,+13.4,-0.066,-0.002,-15.3,-21.7,+.047,+2.4,-0.6,-7.2,-0.6,-2.5,-6.1,+8.5,+7.7,-3.7,-9,+6.3
16,B. Adebayo | A. Burks | T. Herro | P. Larsson | K. Ware,40:37:00,+2.5,-3.1,-1.3,-0.024,-4.3,-6,-0.036,-0.045,+12.9,+11.8,+.222,+4.3,+4.8,-2.3,+4.8,+1.2,+2.9,+2.5,+1.0,+6.1,-3.3,-5.6
17,K. Anderson | T. Herro | H. Highsmith | D. Mitchell | K. Ware,38:14:00,+7.4,+0.6,+7.1,-0.029,-1.2,-5.1,+.009,-0.042,+7.4,+8.9,-0.022,+7.4,+12.0,+1.0,+12.0,+4.3,+9.4,-8.2,+1.3,-1.5,-5.5,-1.4
18,B. Adebayo | K. Anderson | T. Herro | H. Highsmith | D. Mitchell,33:34:00,+55.3,+24.2,+11.7,+.203,-2.2,-10.7,+.142,+.175,+9.1,+9.0,+.096,+1.3,+10.7,+10.5,+10.7,+5.6,+16.3,+4.0,+8.3,-3.2,-13.4,-1.6
19,B. Adebayo | J. Jaquez | N. Jović | J. Richardson | D. Robinson,32:22:00,+21.9,+7.2,+9.7,+.027,+7.6,+8.9,+.112,+.063,-0.2,-5,+.208,-4.8,-9.1,+6.7,-9.1,+0.8,+2.4,+4.3,+3.3,-4.7,-8.2,+3.9
20,B. Adebayo | J. Jaquez | D. Robinson | T. Rozier | D. Smith,32:16:00,-25.6,-2.3,+14.4,-0.117,-3.4,-5.3,-0.035,-0.152,-17.7,-16.2,-0.159,+3.0,-2.8,-12.2,-2.8,-4.7,-13,-3.6,+0.1,-3.1,-3.4,+5.5